ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
653,Mara,12/2/2017,18,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
654,Mara,12/2/2017,16,Musoma,christian,child marriage,police,prosecution,Other,Heathy,1
657,Mara,11/4/2018,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
658,Mara,12/2/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
659,Mara,12/2/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
660,Mara,12/6/2019,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
661,Mara,11/6/2019,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
662,Mara,12/6/2019,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
664,Mara,12/6/2019,12,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
665,Mara,12/6/2019,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
667,Mara,12/3/2019,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
668,Mara,12/3/2019,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
669,Mara,12/6/2019,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
670,Mara,12/6/2019,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
671,Mara,12/6/2019,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
672,Mara,11/6/2019,16,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
673,Mara,12/6/2019,16,Butiam,christian,fgm,volunteer,prosecution,Other,Heathy,1
674,Mara,12/3/2018,15,Butiam,christian,child marriage,volunteer,prosecution,Other,Heathy,0
676,Mara,11/28/2018,16,Butiam,christian,fgm,volunteer,prosecution,Other,Heathy,1
677,Mara,12/6/2018,15,Butiam,christian,fgm,volunteer,prosecution,Other,Heathy,1
678,Mara,12/3/2018,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
679,Mara,6/5/2019,12,Butiam,christian,fgm,came herself,short term protection,Other,Heathy,1
680,Mara,8/6/2019,13,Butiam,christian,fgm,police,short term protection,Counselling,UTI,1
681,Mara,9/25/2019,15,Butiam,christian,fgm,community member,reconciliation with parents,Other,Heathy,1
682,Mara,4/3/2019,12,Butiam,christian,violence,came herself,short term protection,Counselling,UTI,1
683,Mara,6/5/2019,11,Butiam,christian,violence,came herself,short term protection,Counselling,Heathy,1
684,Mara,9/11/2019,15,Butiam,christian,fgm,police,reconciliation with parents,Other,Heathy,1
685,Mara,6/26/2019,15,Butiam,christian,fgm,came herself,reconciliation with parents,Other,Heathy,1
686,Mara,4/25/2019,15,Butiam,christian,fgm,community member,reconciliation with parents,Counselling,Heathy,1
687,Mara,9/4/2019,9,Butiam,christian,fgm,came herself,reconciliation with parents,Counselling,Heathy,1
688,Mara,7/9/2019,9,Butiam,christian,fgm,came herself,reconciliation with parents,Counselling,Heathy,1
