ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
365,Mara,12/8/2018,14,Serengeti,christian,fgm,police,short term protection,Counselling,UTI,1
366,Mara,12/13/2018,13,Serengeti,christian,fgm,police,short term protection,Counselling,Heathy,1
367,Mara,12/9/2017,12,Serengeti,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
372,Mara,12/8/2017,12,Serengeti,paganism,fgm,police,short term protection,Counselling,Heathy,1
373,Mara,12/9/2017,13,Serengeti,paganism,fgm,police,short term protection,Counselling,UTI,1
374,Mara,12/8/2017,14,Serengeti,paganism,fgm,police,short term protection,Counselling,UTI,1
375,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
376,Mara,11/15/2018,5,Butiam,christian,rape,police,long term protection,Counselling,UTI,0
377,Mara,7/18/2019,15,Bunda,christian,rape,police,short term protection,Counselling,UTI,1
378,Mara,8/7/2019,14,Bunda,christian,rape,police,prosecution,Counselling,UTI,1
379,Mara,11/4/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
380,Mara,12/4/2018,9,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
381,Mara,11/1/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
382,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
383,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
384,Mara,12/5/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
385,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
386,Mara,11/1/2018,9,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
387,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
388,Mara,12/5/2018,6,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
389,Mara,11/1/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
390,Mara,12/3/2019,14,Tarime,christian,fgm,volunteer,short term protection,Other,Heathy,0
391,Mara,11/11/2018,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
392,Mara,11/21/2019,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
393,Mara,11/11/2018,17,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
394,Mara,7/16/2019,12,Musoma,christian,fgm,police,prosecution,Other,Heathy,1
395,Mara,6/16/2019,10,Musoma,christian,fgm,police,prosecution,Other,Heathy,1
396,Mara,9/8/2019,12,Rorya,christian,fgm,police,prosecution,Other,Heathy,1
397,Mara,11/11/2018,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
398,Mara,10/25/2019,5,Bunda,christian,violence,police,long term protection,Counselling,UTI,0
399,Mara,11/21/2019,9,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
400,Mara,11/9/2019,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,0
402,Mara,11/11/2018,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
403,Mara,11/29/2019,13,Tarime,christian,fgm,police,prosecution,Other,Heathy,1
404,Mara,11/11/2018,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
406,Mara,12/4/2018,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
407,Mara,12/4/2018,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
408,Mara,12/3/2018,8,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
409,Mara,11/4/2018,11,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
410,Mara,12/4/2018,12,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
411,Mara,12/4/2018,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
412,Mara,12/4/2018,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
414,Mara,11/11/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
415,Mara,11/20/2018,15,Tarime,christian,fgm,came herself,short term protection,Counselling,Heathy,1
416,Mara,11/11/2019,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
417,Mara,11/11/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
418,Mara,11/18/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
419,Mara,11/11/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
420,Mara,11/11/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
421,Mara,12/4/2018,8,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
422,Mara,12/4/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
423,Mara,12/4/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
424,Mara,11/4/2018,7,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
425,Mara,12/4/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
426,Mara,12/4/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
427,Mara,12/12/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
428,Mara,12/1/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
429,Mara,12/1/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
430,Mara,11/26/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
431,Mara,12/4/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
432,Mara,11/26/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
433,Mara,1/8/2020,6,Musoma,christian,violence,community member,short term protection,Counselling,Heathy,0
434,Mara,11/11/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
435,Mara,11/1/2018,19,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
436,Mara,12/9/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
437,Mara,12/9/2018,17,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
438,Mara,12/9/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
439,Mara,11/22/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
440,Mara,12/9/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
441,Mara,12/9/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
442,Mara,12/9/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
443,Mara,12/9/2018,9,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
444,Mara,12/9/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
445,Mara,11/22/2018,1,Butiam,christian,violence,government leader,long term protection,Shoes,Heathy,0
446,Mara,11/8/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
447,Mara,11/8/2018,13,Tarime,christian,fgm,religious leader,short term protection,Counselling,Heathy,1
448,Mara,11/29/2018,13,Tarime,christian,fgm,volunteer,short term protection,Shoes,Heathy,1
449,Mara,2/18/2020,18,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
450,Mara,11/8/2018,17,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
451,Mara,11/1/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
452,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
453,Mara,11/1/2018,12,Tarime,christian,fgm,volunteer,short term protection,Shoes,Heathy,1
454,Mara,11/1/2018,9,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
455,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
456,Mara,11/8/2018,8,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
457,Mara,11/1/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
458,Mara,11/1/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
459,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
460,Mara,11/1/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
461,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
462,Mara,11/1/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
463,Mara,11/1/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
464,Mara,12/4/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
465,Mara,12/4/2018,10,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
466,Mara,12/1/2018,14,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
467,Mara,12/1/2018,13,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
470,Mara,12/1/2018,9,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
472,Mara,12/9/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
473,Mara,11/1/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
474,Mara,11/1/2018,9,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
475,Mara,2/18/2020,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
476,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
477,Mara,11/1/2018,17,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
478,Mara,11/1/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
479,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
480,Mara,11/1/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
481,Mara,11/1/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
482,Mara,11/1/2018,6,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
483,Mara,11/1/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
484,Mara,11/1/2018,6,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
485,Mara,12/9/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
486,Mara,12/11/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
487,Mara,12/9/2018,6,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
488,Mara,12/1/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
489,Mara,12/1/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
490,Mara,12/1/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
491,Mara,12/9/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
492,Mara,12/1/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
493,Mara,12/9/2018,19,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
494,Mara,12/9/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
495,Mara,10/16/2018,17,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
496,Mara,11/8/2018,6,Tarime,christian,child marriage,community member,short term protection,Counselling,Heathy,0
497,Mara,12/7/2018,8,Tarime,christian,rape,police,short term protection,Counselling,Heathy,0
498,Mara,11/12/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
499,Mara,12/3/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
500,Mara,9/20/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
501,Mara,12/10/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
504,Mara,12/29/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
505,Mara,12/12/2018,15,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
506,Mara,11/30/2018,16,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
507,Mara,12/27/2018,13,Tarime,christian,fgm,came herself,short term protection,Counselling,Heathy,1
508,Mara,12/28/2018,13,Tarime,christian,fgm,came herself,short term protection,Counselling,Heathy,1
509,Mara,12/27/2017,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
510,Mara,1/23/2018,24,Tarime,christian,fgm,community member,short term protection,Counselling,Heathy,1
511,Mara,12/28/2017,12,Tarime,christian,fgm,school teacher,short term protection,Counselling,Heathy,1
512,Mara,11/30/2018,14,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
513,Mara,12/21/2018,13,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
514,Mwanza,12/7/2018,16,Magu,christian,child marriage,came herself,short term protection,Counselling,Heathy,0
515,Mwanza,12/7/2018,15,Magu,christian,child marriage,community member,short term protection,Counselling,Heathy,0
516,Mara,12/7/2018,11,Tarime,christian,child marriage,religious leader,short term protection,Counselling,Heathy,0
517,Mara,12/6/2018,12,Tarime,christian,fgm,community member,short term protection,Counselling,Heathy,1
518,Mwanza,12/7/2018,13,Magu,christian,child marriage,came herself,short term protection,Counselling,Heathy,0
519,Mara,12/7/2018,16,Tarime,christian,fgm,came herself,short term protection,Counselling,Heathy,1
520,Mara,12/7/2018,14,Tarime,christian,fgm,came herself,short term protection,Counselling,Heathy,1
521,Mara,11/2/2018,11,Tarime,christian,rape,community member,short term protection,Counselling,Heathy,0
522,Mara,12/8/2018,11,Butiam,christian,rape,community member,short term protection,Counselling,Heathy,0
523,Mara,12/6/2017,12,Tarime,christian,fgm,community member,short term protection,Counselling,Heathy,1
524,Mara,12/8/2018,13,Serengeti,christian,fgm,came herself,short term protection,Counselling,Heathy,0
525,Mara,10/27/2018,5,Tarime,christian,violence,volunteer,short term protection,Counselling,Heathy,0
526,Mara,12/9/2017,8,Tarime,christian,rape,volunteer,short term protection,Counselling,Heathy,0
527,Mara,12/29/2018,11,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
528,Mara,12/8/2018,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
529,Mara,12/8/2018,16,Butiam,christian,fgm,volunteer,short term protection,Counselling,Heathy,1
530,Mara,12/8/2018,8,Butiam,christian,violence,volunteer,short term protection,Counselling,Heathy,0
